name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Manila, National Capital Region, Philippines",2022-01-11,31,25.1,27.5,33,25.1,28.5,21.1,68.7,0,0,0,rain,0,0,30.2,19.3,0.1,1012.8,44.9,10.4,177,15.4,6,10,2022-01-11T06:24:08,2022-01-11T17:43:41,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-12,29.8,22,25.9,31.7,22,26.5,20.1,70.7,0.009,100,4.17,rain,0,0,27,50,54.9,1014.3,65.3,10.3,164.2,14.3,7,10,2022-01-12T06:24:20,2022-01-12T17:44:16,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-01-13,29,24,26.1,31.3,24,26.8,20.5,71.4,0,0,0,rain,0,0,30.6,16.9,83.4,1014.3,83,10.3,100.8,8.9,5,10,2022-01-13T06:24:31,2022-01-13T17:44:51,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-14,28,23,25.3,29.6,23,25.6,19.5,70.4,0.004,100,8.33,rain,0,0,33.5,23.3,89.5,1014.6,60.1,10.6,72.1,6.5,3,10,2022-01-14T06:24:41,2022-01-14T17:45:26,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-15,29,22.6,25.5,29.8,22.6,25.7,18.1,64.4,0,0,0,rain,0,0,41.8,20.5,78.9,1015,66.8,10.8,104.5,9,4,10,2022-01-15T06:24:50,2022-01-15T17:46:00,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-16,31,22.3,25.7,33.7,22.3,26.3,19,67.3,0,0,0,,0,0,38.9,35.9,118.1,1015.1,39.6,12.2,152.8,13.2,7,10,2022-01-16T06:24:58,2022-01-16T17:46:35,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-17,30,21,25.3,30.8,21,25.6,18.6,67.3,0,0,0,,0,0,34.2,26.2,80,1014.7,38.7,11.7,152.2,13.4,7,10,2022-01-17T06:25:05,2022-01-17T17:47:09,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-01-18,29,21.6,24.8,30.3,21.6,25,18,66.8,0,0,0,,0,0,39.6,18.4,72.9,1013.9,46.5,12.4,120.9,10.5,6,10,2022-01-18T06:25:11,2022-01-18T17:47:42,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-19,29,22.7,25.6,31.3,22.7,26,20,71.5,0,0,0,,0,0,26.3,16.6,349.4,1012.7,81.5,12.5,119.4,10.5,4,10,2022-01-19T06:25:15,2022-01-19T17:48:16,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-01-20,30,24.4,26.4,32.5,24.4,27.1,21.2,73.6,0.02,100,4.17,rain,0,0,25.2,23.3,107.7,1012.2,82.8,11.7,90.3,7.8,4,10,2022-01-20T06:25:18,2022-01-20T17:48:49,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-21,31,24.8,26.6,36.5,24.8,27.5,22.1,76.7,4.093,100,12.5,rain,0,0,34.9,19.8,116.7,1012.3,74.2,11.5,95.8,8.2,3,10,2022-01-21T06:25:21,2022-01-21T17:49:22,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-22,32,24.9,28,35.8,24.9,29.7,22,70.7,0,0,0,,0,0,32.8,15.9,101.5,1011.6,47.9,10.9,153.9,13.6,7,10,2022-01-22T06:25:22,2022-01-22T17:49:54,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-23,31,24.1,27.4,35.5,24.1,29.2,22.6,75.6,0,0,0,,0,0,33.1,19.3,75.6,1011.9,54.6,11.5,144.3,12.8,7,10,2022-01-23T06:25:22,2022-01-23T17:50:26,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-24,32,23.9,26.6,37.9,23.9,28.1,22.1,76.9,2.595,100,4.17,rain,0,0,27,19,39.4,1011.2,43,11.7,112.6,9.9,5,10,2022-01-24T06:25:21,2022-01-24T17:50:58,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-01-25,31,22.6,27,34.5,22.6,28.1,20.6,69.2,0,0,0,,0,0,28.8,20.9,48.5,1011.1,36.6,11.9,152.5,13.4,7,10,2022-01-25T06:25:18,2022-01-25T17:51:29,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-26,29,24.6,26.2,32.7,24.6,27.1,22.3,79.6,5.508,100,20.83,rain,0,0,36,19.5,41.7,1011,76.9,12.1,84.4,7.1,4,10,2022-01-26T06:25:15,2022-01-26T17:52:00,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,remote,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-27,31.1,22,27.5,36.5,22,30,23.8,79.5,21.416,100,12.5,rain,0,0,32,18.4,91.9,1011.6,52,11.6,129.1,11.3,5,10,2022-01-27T06:25:10,2022-01-27T17:52:30,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-28,32.3,25.8,28.1,36.7,25.8,30.6,23.1,75,0,0,0,,0,0,29.9,21.5,103.7,1012,57.3,12.8,176.2,15.4,7,10,2022-01-28T06:25:04,2022-01-28T17:53:00,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-01-29,32,23.7,27.5,36.7,23.7,29.6,23.3,78.6,0,0,0,,0,0,27.4,29,235.8,1010.9,41.6,12.1,178.5,15.5,7,30,2022-01-29T06:24:57,2022-01-29T17:53:29,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-01-30,31,24,26.8,36.8,24,28.7,23.8,84.2,0.862,100,4.17,rain,0,0,33.5,35.8,285.3,1011.6,41.7,11.4,171.5,15,8,30,2022-01-30T06:24:49,2022-01-30T17:53:58,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-01-31,31,24.2,27.5,34.5,24.2,29,21.9,72.5,0,0,0,rain,0,0,28.8,21.6,81.5,1013.4,50,12.3,118.4,10.5,5,10,2022-01-31T06:24:40,2022-01-31T17:54:26,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-01,31.1,25,27.3,34,25,28.5,21.1,69.1,0,0,0,,0,0,50.4,22.3,90.3,1013.3,45.4,11.6,86.4,7.4,3,10,2022-02-01T06:24:30,2022-02-01T17:54:54,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-02,31,24,27.2,33,24,28.4,20.3,66.8,0,0,0,,0,0,29.5,29.8,90.3,1013.4,54.7,11.6,112.8,9.9,4,10,2022-02-02T06:24:18,2022-02-02T17:55:21,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-02-03,29.2,25.3,27.2,32.3,25.3,29,21.9,72.8,0,0,0,rain,0,0,29.2,17,89.5,1012.9,80.5,12.9,89.5,7.8,3,10,2022-02-03T06:24:06,2022-02-03T17:55:48,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-02-04,30.8,24,27.6,33.1,24,28.8,20.7,67.1,0,0,0,,0,0,34.2,20.6,103.2,1013.8,54.7,12.2,151,13.4,7,10,2022-02-04T06:23:52,2022-02-04T17:56:14,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-02-05,31,24.4,27.5,33,24.4,28.3,20.2,65.3,0,0,0,,0,0,36,25.2,89.2,1014.4,78.5,11.7,125,11,5,10,2022-02-05T06:23:38,2022-02-05T17:56:40,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-06,30.9,25.6,27.5,33,25.6,28.5,20.4,65.8,0,0,0,,0,0,44.6,57.3,106.1,1014.6,58.1,11.8,139.5,12.4,7,10,2022-02-06T06:23:22,2022-02-06T17:57:04,0.16,Partially cloudy,Clearing in the afternoon.,wind,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-07,30,25.5,27.3,34.1,25.5,28.8,22.4,74.9,0.032,100,4.17,rain,0,0,39.6,18.7,98.9,1013.9,80.7,11.7,103.3,9.2,4,10,2022-02-07T06:23:05,2022-02-07T17:57:29,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-08,31.1,25,27.8,35.6,25,30.1,22.7,74.1,0,0,0,,0,0,35.3,16.9,99.5,1013.3,57.4,11.8,134.2,11.8,6,10,2022-02-08T06:22:47,2022-02-08T17:57:53,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,F0027,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-09,33,24.8,28.1,37,24.8,29.8,21.1,66.2,0,0,0,,0,0,33.5,21.2,101.5,1013.2,38.7,11,146.5,12.9,7,10,2022-02-09T06:22:28,2022-02-09T17:58:16,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-10,33,24.7,27.8,36.1,24.7,29.1,20.8,66.4,0,0,0,,0,0,33.5,23.8,87.7,1012.8,53.8,11.8,156.9,13.9,6,10,2022-02-10T06:22:09,2022-02-10T17:58:39,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-11,31,24.8,27.6,34.5,24.8,28.8,21.3,69.1,0,0,0,,0,0,36,23.7,104.3,1011.9,69.1,11.8,120.1,10.5,5,10,2022-02-11T06:21:48,2022-02-11T17:59:01,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-12,32,23.9,27.7,35.7,23.9,29.4,21.4,69.2,0,0,0,rain,0,0,33.5,16.7,101.4,1010.8,57.4,10.8,167,14.6,7,10,2022-02-12T06:21:26,2022-02-12T17:59:22,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-13,31.1,26,28,34.9,26,30.4,22.6,72.9,0,0,0,,0,0,36,17.7,105.7,1010.4,75.1,11.9,129.6,11.2,6,10,2022-02-13T06:21:03,2022-02-13T17:59:43,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-14,31,25,27.7,35.5,25,30.3,23,75.8,0.423,100,16.67,rain,0,0,21.6,20.4,62.3,1011.6,83.9,11.7,94.2,8.2,4,10,2022-02-14T06:20:39,2022-02-14T18:00:03,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-15,30.9,25,27.8,35.3,25,30,22.8,75.2,0,0,0,rain,0,0,30.2,19.1,127.9,1011,47.4,10.2,129.4,11.5,6,10,2022-02-15T06:20:15,2022-02-15T18:00:23,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-02-16,30.5,25,27.6,34.5,25,29.4,21.9,71.3,0,0,0,rain,0,0,25.2,17.2,121.3,1009.9,48.6,10.8,143.1,12.6,6,10,2022-02-16T06:19:49,2022-02-16T18:00:42,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,remote,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-02-17,31,25,27.3,35.4,25,29.1,22.5,75.5,2.6,100,8.33,rain,0,0,29.2,21.9,110.9,1010.2,64.1,10.8,95.6,8.4,5,10,2022-02-17T06:19:23,2022-02-17T18:01:01,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-18,31.5,25,27.8,35.3,25,30.1,22.4,72.7,0,0,0,,0,0,37.1,18.7,111.8,1011.5,51.8,11,148.3,13.1,7,10,2022-02-18T06:18:55,2022-02-18T18:01:19,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-19,33,25,28.5,39.2,25,31.3,22.4,70.1,0,0,0,,0,0,35.3,18.3,107.9,1010.9,41.2,10.3,151.6,13.3,6,30,2022-02-19T06:18:27,2022-02-19T18:01:37,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-20,33,25.1,28.6,38,25.1,31.2,21.7,66.8,0,0,0,,0,0,35.3,22.3,101.3,1011.5,50.2,10.2,148.3,13.1,6,10,2022-02-20T06:17:58,2022-02-20T18:01:54,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-21,32,25,28,36.7,25,30.3,22,70.4,0.002,100,4.17,rain,0,0,32,21.6,86.6,1013.3,71.1,10.7,113.9,10.1,4,10,2022-02-21T06:17:29,2022-02-21T18:02:10,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-02-22,29.2,25,26.5,33.9,25,27.7,23.3,82.8,14.083,100,12.5,rain,0,0,43.6,18,71.2,1013.7,86.5,9.9,76.1,6.7,3,10,2022-02-22T06:16:58,2022-02-22T18:02:26,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-02-23,29.5,25,27.4,32.4,25,28.9,21.9,72.7,0,0,0,,0,0,32,23,89.9,1014.7,82.7,10.4,102,8.9,4,10,2022-02-23T06:16:27,2022-02-23T18:02:41,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-24,33,24,28.1,37,24,29.9,21.4,68,0,0,0,,0,0,36,25.5,106.9,1014.6,32.6,10.4,150.7,13.3,7,10,2022-02-24T06:15:55,2022-02-24T18:02:56,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-25,32.5,25,28.2,34.9,25,29.9,20.9,65.3,0,0,0,rain,0,0,288,25.2,98.6,1015.4,47.3,10.6,149,12.9,7,10,2022-02-25T06:15:22,2022-02-25T18:03:11,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-26,32,25,27.7,36.8,25,29.2,21.3,68.8,0.017,100,4.17,rain,0,0,29.2,22.3,73.4,1014.7,57.7,10.2,161.4,14.2,7,10,2022-02-26T06:14:49,2022-02-26T18:03:25,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-02-27,32.4,25,27.7,36.3,25,29.1,20.9,66.8,0.002,100,4.17,rain,0,0,36,23.4,67.6,1014.4,41.9,10.9,167.1,14.7,7,10,2022-02-27T06:14:15,2022-02-27T18:03:38,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-02-28,33,25,28.4,35.3,25,30,20.7,63.8,0,0,0,,0,0,42.5,25.9,84.5,1014.4,37.7,11,219.2,19,8,10,2022-02-28T06:13:40,2022-02-28T18:03:51,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,F9028,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-03-01,33,25,28.3,36.1,25,29.6,20,61.5,0,0,0,,0,0,38.9,22.3,99.9,1013.6,37.4,10.7,218.3,18.5,8,10,2022-03-01T06:13:04,2022-03-01T18:04:04,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-03-02,33,24,28.2,38,24,30.2,21.3,66.7,0,0,0,,0,0,46.8,20.5,112.2,1013.1,36.8,10.5,192.5,15.4,7,10,2022-03-02T06:12:29,2022-03-02T18:04:16,0.98,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,E0758,98433099999,98425099999"
"Manila, National Capital Region, Philippines",2022-03-03,33,24,28.3,37,24,30.7,21.9,69,0,0,0,,0,0,46.4,27.7,101,1012.6,35.4,12.2,191,15.2,7,10,2022-03-03T06:11:52,2022-03-03T18:04:28,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,remote,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-03-04,32,25,28.2,36.7,25,30.8,22.1,69.8,0,0,0,,0,0,36.4,27.2,99.3,1012.4,35.3,11.1,232.4,18.4,8,10,2022-03-04T06:11:15,2022-03-04T18:04:39,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-03-05,33,25,28.7,37,25,31,21.6,66.1,0,0,0,,0,0,33.8,16.8,108.8,1010.9,33.1,10.4,210.4,16.6,6,10,2022-03-05T06:10:38,2022-03-05T18:04:50,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
"Manila, National Capital Region, Philippines",2022-03-06,33,24.9,28.5,37,24.9,30.5,21.4,66.4,0,0,0,,0,0,35.3,26.9,104.9,1011.9,53.3,10.4,213.5,16.9,7,10,2022-03-06T06:09:59,2022-03-06T18:05:01,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"98432099999,98429099999,C6CX3,98428099999,98426041231,RPLL,98430099999,98433099999,E0758,98425099999"
